gene	s15v24hpf_mean_expression	s15v24hpf_log2_change	s24vMel_mean_expression	s24vMel_log2_change	s24vIri_mean_expression	s24vIri_log2_change	MelvIri_mean_expression	MelvIri_log2_change	genename	type	s15_Rep1	s15_Rep2	s24_Rep1	s24_Rep2	Mel_Rep1	Mel_Rep2	Iri_Rep1	Iri_Rep2	s15	s24	Mel	Iri	s15_Rep1_zscore	s15_Rep2_zscore	s24_Rep1_zscore	s24_Rep2_zscore	Mel_Rep1_zscore	Mel_Rep2_zscore	Iri_Rep1_zscore	Iri_Rep2_zscore
ENSDARG00000000018	0	0	2083.1365564926	1.98573097500008	2083.1365564926	2.3150291719852	0	0	nrf1	TF	20.877337	17.70706	19.46246	17.865152	5.426385	11.369233	5.273164	5.579937	19.2921985	18.663806	8.397809	5.4265505	0.0922041659201507	0.0715003037457169	0.0704921227815071	0.0665861669017027	-0.0428653952090674	0.00561578606806607	-0.0457125818657133	-0.0397730453849761
ENSDARG00000000019	0	0	3638.35954055013	-2.12605098176426	3638.35954055013	-3.45133016974563	0	0	ube2h	other	16.942144	26.60198	3.8754	3.277831	16.434124	38.674408	57.232628	79.26812	21.772062	3.5766155	27.554266	68.250374	0.0488173268811572	0.174435816035539	-0.0533538104903243	-0.0667223358381717	0.0280354540457452	0.223842049743574	0.222519367307593	0.299259542461942
ENSDARG00000000103	0	0	11182.854151658	2.10988883963379	0	0	0	0	myh10	other	39.55769	37.577873	34.73909	28.256077	8.386499	14.330399	19.124466	33.502846	38.5677815	31.4975835	11.358449	26.313656	0.298161400750203	0.301453166252661	0.19187155543901	0.16154525183802	-0.0237993003015609	0.0292817831657938	0.0257924231522005	0.0886977041039072
ENSDARG00000000189	0	0	3132.63605645049	-3.29387237535868	3132.63605645049	-1.95469448180996	0	0	sema6e	other	2.294774	2.920198	1.358065	1.462167	16.262136	32.447105	7.552036	9.893154	2.607486	1.410116	24.3546205	8.722595	-0.11267490095483	-0.0996190784554618	-0.0733551258399056	-0.0833150638187716	0.0269276793009374	0.17407269040179	-0.0339482904081172	-0.0199283286078598
ENSDARG00000000241	0	0	1274.73772591943	-2.74818246126878	0	0	1274.73772591943	2.15860733335258	slc40a1	other	4.313918	4.023172	2.607708	1.647241	19.163559	25.170223	6.349501	3.573156	4.168545	2.1274745	22.166891	4.9613285	-0.0904131527446279	-0.0868550295677422	-0.0634261717208087	-0.0816237362723304	0.0456157454648831	0.115914968648769	-0.0401561740575545	-0.0490060611545741
ENSDARG00000000370	0	0	0	0	1524.0741995373	2.32318379565072	0	0	triob	other	4.488217	10.385674	3.096799	2.460287	0.49688	2.708465	0.497421	0.422303	7.4369455	2.778543	1.6026725	0.459862	-0.0884914470855516	-0.0132256542821837	-0.0595401321886677	-0.0741935888916946	-0.0746163379690516	-0.063602120105412	-0.0703665477657613	-0.063502847518749
ENSDARG00000000442	0	0	0	0	742.065799620113	2.17544994985772	0	0	slc39a13	other	13.630383	16.14694	10.530818	8.929276	4.4728	3.692499	2.337277	3.484891	14.8886615	9.730047	4.0826495	2.911084	0.0123040373315427	0.0534459815670354	-0.000473635940143184	-0.0150757263430664	-0.0490074363981482	-0.0557376012678779	-0.0608686021926853	-0.0494121603437251
ENSDARG00000000472	771.210136341876	-2.87423894794594	771.210136341876	4.64035323663982	771.210136341876	7.20188037737854	771.210136341876	2.56152714073872	cntn2	other	3.179814	2.622273	9.929515	10.600067	0.063499	1.252529	0.029025	0.046872	2.9010435	10.264791	0.658014	0.0379485	-0.102917034435177	-0.103066783718572	-0.00525124834518634	0.000193057184851955	-0.0774077450828013	-0.0752381368469514	-0.072784562933604	-0.0652301711995074
ENSDARG00000000551	0	0	0	0	735.793496135668	1.88146293449641	735.793496135668	2.49159919282212	slc1a4	other	8.433508	7.848981	4.97754	3.790518	10.009047	7.791285	1.682595	1.339966	8.1412445	4.384029	8.900166	1.5112805	-0.0449932741677329	-0.0425812632676503	-0.0445968315028682	-0.0620370659147775	-0.0133484682863126	-0.0229796074302453	-0.0642482873439539	-0.0592807640177708
ENSDARG00000000567	0	0	1324.91466488362	3.03166542523769	1324.91466488362	3.21702373466077	0	0	znf281a	TF	13.292244	9.695467	9.096994	8.866101	1.110469	2.267809	1.421489	1.459933	11.4938555	8.9815475	1.689139	1.440711	0.00857594003979461	-0.0212130011195945	-0.0118659877645123	-0.0156530609105714	-0.0706642110887348	-0.0671238961953361	-0.0655962029290886	-0.0587288068272097
ENSDARG00000000690	0	0	2244.66079756833	-3.1245150712274	2244.66079756833	-2.41029243260865	0	0	sypl2b	other	9.678817	5.869541	4.10053	3.545931	61.050339	36.683132	25.082722	43.936672	7.774179	3.8232305	48.8667355	34.509697	-0.0312633195919828	-0.0654881213896982	-0.0515650552691673	-0.0642722622719179	0.31540850440925	0.207927530923361	0.0565509125113968	0.136702782881931
ENSDARG00000000729	0	0	764.855500375431	1.9775310086679	764.855500375431	2.31723937728732	0	0	daxx	Cofactor	13.980886	9.624968	4.657491	7.217697	1.252225	3.306417	1.973752	1.164617	11.802927	5.937594	2.279321	1.5691845	0.0161684519215474	-0.0220288432722974	-0.0471397592325181	-0.0307172573555814	-0.069751160662397	-0.0588232153440509	-0.0627452385514288	-0.0600875287231289
ENSDARG00000000730	0	0	646.25125777491	-4.07848612244941	646.25125777491	-2.3043884036471	0	0	slc6a22.1	other	1.851614	3.292424	0.346752	0.25813	7.899778	11.72259	4.164528	1.088625	2.572019	0.302441	9.811184	2.6265765	-0.117560890431971	-0.0953115328004597	-0.081390445028703	-0.0943183432909523	-0.0269342703667261	0.00843985798313662	-0.0514357278012391	-0.0604371609622039
ENSDARG00000000767	217.966136023023	4.95301144691675	0	0	0	0	0	0	spi1b	TF	12.346607	9.951823	0.134609	0.157157	0.72576	2.595382	0.876805	0.646573	11.149215	0.145883	1.660571	0.761689	-0.00185002898086502	-0.018246348672066	-0.0830760129178422	-0.0952411007628111	-0.073142121840068	-0.0645058931292149	-0.0684080420004754	-0.0624710017684416
ENSDARG00000000796	0	0	4545.5257160225	-3.09493375851681	0	0	4545.5257160225	2.58859263855547	nr4a1	TF	22.167023	21.44652	8.70429	5.52843	51.803909	159.042038	24.238678	7.747963	21.8067715	7.11636	105.4229735	15.9933205	0.106423391989328	0.114774805459875	-0.0149861908932345	-0.0461548866843581	0.255852246800382	1.18583471825333	0.0521936780466988	-0.0297981561235676
ENSDARG00000000943	0	0	1314.73440414992	3.41865219297822	1314.73440414992	6.73366408081155	1314.73440414992	3.31501188783332	dzip1	other	10.824745	11.20246	16.251736	12.390726	0.596443	3.393275	0.264117	0.08152	11.0136025	14.321231	1.994859	0.1728185	-0.0186290742865363	-0.00377348547783756	0.0449815319286928	0.0165572730821837	-0.0739750526647437	-0.0581290356945769	-0.071570940225813	-0.065070758921643
ENSDARG00000001014	0	0	18561.450527599	1.65936201687051	0	0	0	0	myh9b	other	68.829155	80.348656	89.106056	70.333916	24.856253	45.533115	26.003054	55.775902	74.5889055	79.719986	35.194684	40.889478	0.620889241644037	0.796413487328267	0.623840614609112	0.546080130834616	0.0822823887372006	0.278657666279818	0.0613019708796387	0.191173996875834
ENSDARG00000001057	0	0	5748.71912596698	2.45254482199028	5748.71912596698	2.40651598938468	0	0	bysl	other	134.574127	123.985191	101.793434	113.550934	23.880526	25.778772	17.319946	41.57402	129.279659	107.672184	24.829649	29.446983	1.34574988197022	1.30139263101677	0.724647320247154	0.941025574378513	0.0759977309213811	0.120778565916813	0.0164768937055877	0.125832437201923
ENSDARG00000001241	0	0	5584.60621766452	2.48521117117621	5584.60621766452	2.68203905790441	0	0	puf60b	Cofactor	72.064331	54.362125	59.645378	61.304939	14.034944	16.323044	13.442978	14.524484	63.213228	60.4751585	15.178994	13.983731	0.656558155563841	0.495687131034972	0.389762785837624	0.463567419614868	0.0125823351522866	0.0452072431997135	-0.00353729819451603	0.00137999697635317
ENSDARG00000001313	685.274976716497	2.0740201037086	0	0	685.274976716497	2.0633303071168	0	0	g2e3	other	21.609961	14.199565	1.854708	1.897356	1.426249	1.925509	0.8801	0.473119	17.904763	1.876032	1.675879	0.6766095	0.100281594286206	0.0309101922349905	-0.0694090824014431	-0.0793380214270354	-0.0686302720411534	-0.0698595992280443	-0.0683910321199938	-0.0632690477521836
