gene_ID	genename 	GO_term	Type	ALX1	ALX3	ALX4	GBX2	SOX10	TFEC	Motif_presence	DMAR_count	Order
ENSDARG00000016706	atic 	Iri_marker	DMAR	0	0	0	0	0	0	None	1	1
ENSDARG00000016706	atic 	Iri_marker	DMAR	0	0	0	0	1	1	SOX10 & TFEC	1	2
ENSDARG00000089334	ednrba	Iri_marker	DMAR	2	2	2	0	2	5	ALX & SOX10 & TFEC	1	3
ENSDARG00000089334	ednrba	Iri_marker	DMAR	0	0	0	0	0	0	None	1	4
ENSDARG00000042861	ltk	Iri_marker	soloDMR	2	2	2	0	0	0	ALX only	1	5
ENSDARG00000042861	ltk	Iri_marker	soloDMR	0	0	0	0	0	4	TFEC only	1	6
ENSDARG00000042861	ltk	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	7
ENSDARG00000042861	ltk	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	8
ENSDARG00000042861	ltk	Iri_marker	soloDAR	2	2	2	0	0	0	ALX only	1	9
ENSDARG00000042861	ltk	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	10
ENSDARG00000042861	ltk	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	11
ENSDARG00000042861	ltk	Iri_marker	DMAR	0	0	0	0	1	0	SOX10 only	1	12
ENSDARG00000042861	ltk	Iri_marker	soloDAR	1	0	0	0	0	1	ALX & TFEC	1	13
ENSDARG00000042861	ltk	Iri_marker	DMAR	2	1	1	0	0	2	ALX & TFEC	1	14
ENSDARG00000042861	ltk	Iri_marker	soloDMR	1	1	1	0	0	0	ALX only	1	15
ENSDARG00000042861	ltk	Iri_marker	DMAR	4	4	3	0	0	0	ALX only	1	16
ENSDARG00000042861	ltk	Iri_marker	DMAR	0	0	0	0	0	0	None	1	17
ENSDARG00000042861	ltk	Iri_marker	DMAR	1	1	1	2	0	0	ALX only	1	18
ENSDARG00000042861	ltk	Iri_marker	DMAR	0	0	0	2	1	0	ALX & SOX10	1	19
ENSDARG00000042861	ltk	Iri_marker	DMAR	4	4	3	0	0	0	ALX only	1	20
ENSDARG00000042861	ltk	Iri_marker	DMAR	0	0	0	0	0	0	None	1	21
ENSDARG00000042861	ltk	Iri_marker	soloDAR	0	0	0	2	0	0	ALX only	1	22
ENSDARG00000057575	pnp4a	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	23
ENSDARG00000057575	pnp4a	Iri_marker	DMAR	1	1	3	0	1	2	ALX & SOX10 & TFEC	1	24
ENSDARG00000057575	pnp4a	Iri_marker	soloDAR	0	0	0	0	0	0	None	1	25
ENSDARG00000057575	pnp4a	Iri_marker	DMAR	2	2	2	2	0	1	ALX & TFEC	1	26
ENSDARG00000057575	pnp4a	Iri_marker	soloDMR	0	0	0	0	0	0	None	1	27
ENSDARG00000057575	pnp4a	Iri_marker	DMAR	4	4	4	6	0	2	ALX & TFEC	1	28
ENSDARG00000057575	pnp4a	Iri_marker	soloDAR	0	0	0	0	0	0	None	1	29
ENSDARG00000057575	pnp4a	Iri_marker	soloDMR	0	0	0	0	1	0	SOX10 only	1	30
