Ensembl ID	Entrez ID	TF family	Protein have DBD
ENSDARG00000052242	100330019	AF-4	ENSDARP00000068559;
ENSDARG00000086044	100537394	AF-4	ENSDARP00000105953;
ENSDARG00000079575	570215	AF-4	ENSDARP00000113026;ENSDARP00000103455;
ENSDARG00000001857	556421	AF-4	ENSDARP00000125884;ENSDARP00000042839;ENSDARP00000106232;ENSDARP00000126226;
ENSDARG00000008861	393794	AP-2	ENSDARP00000007990;
ENSDARG00000023272	566838	AP-2	ENSDARP00000028710;
ENSDARG00000059279	140618	AP-2	ENSDARP00000076787;ENSDARP00000076785;ENSDARP00000076782;
ENSDARG00000012667	550545	AP-2	ENSDARP00000117791;ENSDARP00000123362;ENSDARP00000123010;ENSDARP00000016761;ENSDARP00000060538;ENSDARP00000013659;
ENSDARG00000040606	494033	AP-2	ENSDARP00000123798;ENSDARP00000059434;ENSDARP00000124643;
ENSDARG00000003098	415256	ARID	ENSDARP00000023794;ENSDARP00000124215;ENSDARP00000102232;ENSDARP00000124652;ENSDARP00000124925;
ENSDARG00000037196	100536827	ARID	ENSDARP00000054091;
ENSDARG00000057093	327168	ARID	ENSDARP00000058728;ENSDARP00000122212;
ENSDARG00000060925	100007426	ARID	ENSDARP00000080768;
ENSDARG00000067729	569444	ARID	ENSDARP00000088317;
ENSDARG00000070474	571249	ARID	ENSDARP00000094246;
ENSDARG00000070843	562799	ARID	ENSDARP00000095133;
ENSDARG00000007413	566352	ARID	ENSDARP00000099617;ENSDARP00000011701;
ENSDARG00000077120	100462698	ARID	ENSDARP00000102999;
ENSDARG00000090656	100537923	ARID	ENSDARP00000107839;ENSDARP00000112863;
ENSDARG00000006124	553406	ARID	ENSDARP00000110667;ENSDARP00000089428;
ENSDARG00000054307	337153	ARID	ENSDARP00000111639;ENSDARP00000123549;
ENSDARG00000062268	558456	ARID	ENSDARP00000114402;ENSDARP00000084269;
ENSDARG00000069988	572528	ARID	ENSDARP00000114989;
ENSDARG00000079879	\N	ARID	ENSDARP00000118182;ENSDARP00000078698;
ENSDARG00000060073	568161	ARID	ENSDARP00000118392;
ENSDARG00000092503	569589	ARID	ENSDARP00000119606;
ENSDARG00000043873	327404	ARID	ENSDARP00000126363;ENSDARP00000108603;ENSDARP00000094005;ENSDARP00000064411;
ENSDARG00000041689	393266	bHLH	ENSDARP00000002107;ENSDARP00000122834;ENSDARP00000116327;ENSDARP00000117904;ENSDARP00000118512;ENSDARP00000114463;ENSDARP00000119234;ENSDARP00000123553;
ENSDARG00000013441	58146	bHLH	ENSDARP00000002357;
ENSDARG00000017078	58069	bHLH	ENSDARP00000005591;
ENSDARG00000017917	58132	bHLH	ENSDARP00000006074;
ENSDARG00000030110	30513	bHLH	ENSDARP00000009713;
ENSDARG00000014463	406475	bHLH	ENSDARP00000009717;ENSDARP00000118969;ENSDARP00000118812;ENSDARP00000119342;
ENSDARG00000005915	30310	bHLH	ENSDARP00000010044;ENSDARP00000072760;
ENSDARG00000009438	30200	bHLH	ENSDARP00000010347;
ENSDARG00000019646	30176	bHLH	ENSDARP00000010424;
ENSDARG00000007241	393141	bHLH	ENSDARP00000010970;
ENSDARG00000014479	368662	bHLH	ENSDARP00000011265;
ENSDARG00000006003	405873	bHLH	ENSDARP00000011307;
ENSDARG00000025495	402968	bHLH	ENSDARP00000015418;
ENSDARG00000004729	114834	bHLH	ENSDARP00000016294;ENSDARP00000121866;ENSDARP00000103421;
ENSDARG00000016536	352934	bHLH	ENSDARP00000016938;
ENSDARG00000002707	445409	bHLH	ENSDARP00000017640;ENSDARP00000106451;
ENSDARG00000006514	30288	bHLH	ENSDARP00000018393;
ENSDARG00000019335	373116	bHLH	ENSDARP00000021078;ENSDARP00000118664;
ENSDARG00000037833	114833	bHLH	ENSDARP00000021876;
ENSDARG00000008305	58150	bHLH	ENSDARP00000022921;
ENSDARG00000016854	114435	bHLH	ENSDARP00000023642;
ENSDARG00000010794	562289	bHLH	ENSDARP00000023719;
ENSDARG00000004060	324413	bHLH	ENSDARP00000023917;ENSDARP00000107345;
ENSDARG00000019566	30169	bHLH	ENSDARP00000026490;
ENSDARG00000006837	252851	bHLH	ENSDARP00000026640;
ENSDARG00000014722	30287	bHLH	ENSDARP00000027076;
ENSDARG00000011635	567817	bHLH	ENSDARP00000027441;
ENSDARG00000023316	260351	bHLH	ENSDARP00000033085;
ENSDARG00000023537	554265	bHLH	ENSDARP00000035291;
ENSDARG00000029830	404208	bHLH	ENSDARP00000040265;
ENSDARG00000030402	30175	bHLH	ENSDARP00000043594;
ENSDARG00000032963	402914	bHLH	ENSDARP00000044079;ENSDARP00000099379;
ENSDARG00000024844	30467	bHLH	ENSDARP00000044461;ENSDARP00000111552;ENSDARP00000115643;ENSDARP00000119638;ENSDARP00000046034;ENSDARP00000114266;ENSDARP00000105563;
ENSDARG00000030347	58070	bHLH	ENSDARP00000045384;
ENSDARG00000033400	493915	bHLH	ENSDARP00000045676;
ENSDARG00000031277	550518	bHLH	ENSDARP00000047555;
ENSDARG00000028859	100536529	bHLH	ENSDARP00000049741;
ENSDARG00000008423	556894	bHLH	ENSDARP00000049862;
ENSDARG00000076010	100535497	bHLH	ENSDARP00000052926;ENSDARP00000124909;
